Hourly Time,Hourly Sum
2015년 10월 21일   01시,564361.625
2015년 10월 21일   02시,552351.375
2015년 10월 21일   03시,546293.3008
2015년 10월 21일   04시,553022.3242
2015년 10월 21일   05시,570629.7109
2015년 10월 21일   06시,598686.3477
2015년 10월 21일   07시,632816.082
2015년 10월 21일   08시,677632.4844
2015년 10월 21일   09시,693872.7813
2015년 10월 21일   10시,685612.1758
2015년 10월 21일   11시,689040.6367
2015년 10월 21일   12시,644978.8125
2015년 10월 21일   13시,680413.1289
2015년 10월 21일   14시,696434.5039
2015년 10월 21일   15시,700395.7305
2015년 10월 21일   16시,706746.9844
2015년 10월 21일   17시,704012.7969
2015년 10월 21일   18시,712393.6602
2015년 10월 21일   19시,702447.8516
2015년 10월 21일   20시,686590.7031
2015년 10월 21일   21시,666970.5859
2015년 10월 21일   22시,651308.7695
2015년 10월 21일   23시,636621.2656
2015년 10월 22일   00시,590355.5742
2015년 10월 22일   01시,566428.0664
2015년 10월 22일   02시,553688.6758
2015년 10월 22일   03시,549464.8555
2015년 10월 22일   04시,552531.1758
2015년 10월 22일   05시,569558.3477
2015년 10월 22일   06시,596616.5703
2015년 10월 22일   07시,629754.9258
2015년 10월 22일   08시,676831.0508
2015년 10월 22일   09시,692823.9492
2015년 10월 22일   10시,688979.5273
2015년 10월 22일   11시,685328.3359
2015년 10월 22일   12시,640768.5352
2015년 10월 22일   13시,676847.4258
2015년 10월 22일   14시,692833.2109
2015년 10월 22일   15시,694544.0273
2015년 10월 22일   16시,701842.9219
2015년 10월 22일   17시,702737.3906
2015년 10월 22일   18시,714843.8008
2015년 10월 22일   19시,703033.5078
2015년 10월 22일   20시,684394.2148
2015년 10월 22일   21시,664231.6914
2015년 10월 22일   22시,646492.2305
2015년 10월 22일   23시,629744
2015년 10월 23일   00시,586598.1914
2015년 10월 23일   01시,562789.9414
2015년 10월 23일   02시,551128.5977
2015년 10월 23일   03시,544158.8516
2015년 10월 23일   04시,547922.1641
2015년 10월 23일   05시,564853.4063
2015년 10월 23일   06시,594235.6914
2015년 10월 23일   07시,626658.2422
2015년 10월 23일   08시,670275.3242
2015년 10월 23일   09시,687787.9141
2015년 10월 23일   10시,688207.5234
2015년 10월 23일   11시,682720.7109
2015년 10월 23일   12시,636221.6328
2015년 10월 23일   13시,669555.2461
2015년 10월 23일   14시,686184.7227
2015년 10월 23일   15시,687175.6563
2015년 10월 23일   16시,694478.207
2015년 10월 23일   17시,694583.0156
2015년 10월 23일   18시,704946.9375
2015년 10월 23일   19시,690295.2578
2015년 10월 23일   20시,675401.3828
2015년 10월 23일   21시,656902.1992
2015년 10월 23일   22시,644208.4961
2015년 10월 23일   23시,629766.4922
2015년 10월 24일   00시,585192.7031
2015년 10월 24일   01시,559473.1602
2015년 10월 24일   02시,544993.6328
2015년 10월 24일   03시,537135.5586
2015년 10월 24일   04시,539575.1523
2015년 10월 24일   05시,550047.0547
2015년 10월 24일   06시,565109.5312
2015년 10월 24일   07시,575386.207
2015년 10월 24일   08시,597515.0273
2015년 10월 24일   09시,609556.2578
2015년 10월 24일   10시,614313.7734
2015년 10월 24일   11시,611614
2015년 10월 24일   12시,583501.8516
